Respondent,Professional,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,CareerSatisfaction,JobSatisfaction,TabsSpaces,IDE,Methodology,Gender,HighestEducationParents,Race,Salary
116,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years,10 to 11 years,8,8,Both,Visual Studio; Visual Studio Code,Scrum; Extreme; Pair,Male,A bachelor's degree,White or of European descent,9.00E+04
124,Professional developer,Some college/university study without earning a bachelor's degree,A natural science,A few days each month,"10,000 or more employees",Publicly-traded corporation,11 to 12 years,4 to 5 years,7,9,Both,Visual Studio,Agile; Scrum; Kanban,Male,A master's degree,White or of European descent,1.15E+05
126,Professional developer,Bachelor's degree,Something else,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",20 or more years,9 to 10 years,7,5,Spaces,Notepad++; Eclipse; IntelliJ; Visual Studio,Waterfall; Agile; Scrum; Pair,Male,A master's degree,I don’t know,9.30E+04
135,Professional developer,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,Publicly-traded corporation,17 to 18 years,14 to 15 years,8,7,Both,Visual Studio; Visual Studio Code,Agile; Domain-driven design,Male,"Some college/university study, no bachelor's degree",White or of European descent,92500
157,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",10 to 11 years,5 to 6 years,7,7,Spaces,IntelliJ; Visual Studio Code,Agile; Scrum,Male,"Some college/university study, no bachelor's degree",White or of European descent,8.00E+04
158,Professional developer,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,Non-profit/non-governmental organization or private school/university,20 or more years,15 to 16 years,8,9,Tabs,Sublime Text; Visual Studio; Visual Studio Code,Agile; Scrum,Male,A bachelor's degree,White or of European descent,100297
170,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",14 to 15 years,14 to 15 years,7,5,Spaces,Atom,NA,Male,"Some college/university study, no bachelor's degree",White or of European descent,1.00E+05
178,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",10 to 11 years,4 to 5 years,10,10,Tabs,Atom; Android Studio; Xcode,Agile; Scrum; Pair; Domain-driven design,Male,A bachelor's degree,White or of European descent,1.20E+05
196,Professional developer,Bachelor's degree,Computer programming or Web development,Never,"1,000 to 4,999 employees",Publicly-traded corporation,9 to 10 years,7 to 8 years,7,7,Spaces,Visual Studio,NA,Male,A bachelor's degree,White or of European descent,6.60E+04
199,Professional developer,Master's degree,Computer engineering or electrical/electronics engineering,All or almost all the time (I'm full-time remote),"10,000 or more employees",Publicly-traded corporation,20 or more years,15 to 16 years,8,7,Tabs,Vim; Xcode,NA,Male,High school,White or of European descent,1.46E+05
217,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),Fewer than 10 employees,Pre-series A startup,20 or more years,15 to 16 years,10,10,Spaces,Notepad++; Sublime Text; IntelliJ; Visual Studio; Xcode,NA,Male,A professional degree,White or of European descent,5.00E+04
220,Professional developer,Some college/university study without earning a bachelor's degree,A non-computer-focused engineering discipline,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",2 to 3 years,2 to 3 years,4,1,NA,NA,NA,NA,NA,NA,5.00E+04
221,Professional developer,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,Non-profit/non-governmental organization or private school/university,20 or more years,20 or more years,10,10,Spaces,Emacs; PyCharm,Agile; Scrum; Pair; Kanban,Male,A master's degree,White or of European descent,1.85E+05
224,Professional developer,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),500 to 999 employees,"Privately-held limited company, not in startup mode",17 to 18 years,11 to 12 years,7,8,Spaces,Atom; Notepad++; Visual Studio; Visual Studio Code,NA,Male,High school,White or of European descent,1.60E+05
235,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,I don't know,18 to 19 years,6 to 7 years,8,7,Spaces,Atom; Notepad++; Visual Studio,Agile; Scrum,Male,A master's degree,White or of European descent,6.30E+04
236,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,"1,000 to 4,999 employees",Publicly-traded corporation,10 to 11 years,6 to 7 years,8,10,Spaces,Vim; Eclipse; NetBeans; Visual Studio,Agile; Scrum,Male,A bachelor's degree,White or of European descent,6.70E+04
238,Professional developer,Bachelor's degree,Management information systems,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",8 to 9 years,5 to 6 years,8,8,Tabs,Notepad++; Visual Studio; Visual Studio Code,NA,Other,"Some college/university study, no bachelor's degree",White or of European descent,8.00E+04
239,Professional developer,Master's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),500 to 999 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,15 to 16 years,8,8,Tabs,NA,Pair,Male,A master's degree,White or of European descent,1.03E+05
242,Professional developer,Master's degree,A non-computer-focused engineering discipline,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",9 to 10 years,6 to 7 years,10,10,Spaces,Notepad++; Visual Studio,NA,Male,A master's degree,White or of European descent,8.10E+04
250,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees",Publicly-traded corporation,5 to 6 years,2 to 3 years,8,8,Both,Notepad++; Sublime Text; Vim; Eclipse; Visual Studio; Visual Studio Code,Kanban,Male,A bachelor's degree,South Asian,6.50E+04
259,Professional developer,Bachelor's degree,A business discipline,Never,10 to 19 employees,Pre-series A startup,20 or more years,20 or more years,7,5,Both,Visual Studio,Waterfall; Agile; Scrum,Male,"Some college/university study, no bachelor's degree",White or of European descent,6.50E+04
268,Professional developer,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",15 to 16 years,8 to 9 years,6,6,Spaces,Notepad++; Visual Studio; Visual Studio Code,NA,Other,A bachelor's degree,White or of European descent,1.15E+05
275,Professional developer,Bachelor's degree,Management information systems,All or almost all the time (I'm full-time remote),"10,000 or more employees",Publicly-traded corporation,20 or more years,18 to 19 years,3,2,Both,IntelliJ; Visual Studio Code,NA,Male,A bachelor's degree,White or of European descent,1.70E+05
292,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Venture-funded startup,6 to 7 years,4 to 5 years,7,5,Spaces,Vim; Xcode,Agile; Scrum; Pair; Kanban,Male,A bachelor's degree,White or of European descent,1.70E+05
316,Professional developer,Bachelor's degree,Psychology,All or almost all the time (I'm full-time remote),100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,9 to 10 years,5,1,Spaces,Vim,NA,Male,A master's degree,I prefer not to say,9.70E+04
325,Professional developer,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,Venture-funded startup,9 to 10 years,7 to 8 years,10,10,Spaces,Visual Studio; Visual Studio Code,NA,Male,A master's degree,NA,1.20E+05
348,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,"More than half, but not all, the time","10,000 or more employees",Publicly-traded corporation,9 to 10 years,4 to 5 years,7,6,Spaces,Vim; Xcode,NA,Male,High school,White or of European descent,1.10E+05
350,Professional developer,Bachelor's degree,A humanities discipline,It's complicated,20 to 99 employees,"Privately-held limited company, not in startup mode",13 to 14 years,2 to 3 years,9,8,Tabs,Notepad++; Visual Studio,Agile; Scrum; Kanban,Male,A master's degree,White or of European descent,8.50E+04
365,Professional developer,Master's degree,A social science,Never,"10,000 or more employees",Publicly-traded corporation,11 to 12 years,8 to 9 years,9,8,Spaces,Vim; Visual Studio; Visual Studio Code,Waterfall; Agile; Scrum,Male,"Some college/university study, no bachelor's degree",White or of European descent,1.65E+05
367,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",Fewer than 10 employees,"Privately-held limited company, not in startup mode",12 to 13 years,5 to 6 years,7,7,Spaces,IntelliJ; Visual Studio,Agile; Scrum; Kanban,Male,A doctoral degree,White or of European descent,1.00E+05
372,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Something else,11 to 12 years,7 to 8 years,7,8,Spaces,Vim; IntelliJ,NA,Male,A bachelor's degree,White or of European descent,6.10E+04
374,Professional developer,Bachelor's degree,Management information systems,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",20 or more years,20 or more years,8,5,Both,Visual Studio; Visual Studio Code,Waterfall; Agile; Scrum,Male,A bachelor's degree,White or of European descent,1.50E+05
375,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years,7 to 8 years,8,7,Both,Atom; IPython / Jupyter; Visual Studio,Agile; Scrum; Pair; Kanban,Male,A master's degree,White or of European descent,8.20E+04
379,Professional developer,Primary/elementary school,NA,A few days each month,20 to 99 employees,Publicly-traded corporation,9 to 10 years,1 to 2 years,7,4,Spaces,Atom; Vim; IntelliJ; NetBeans,Agile; Lean; Scrum; Extreme; Pair; Mob; Kanban,Female; Transgender,A master's degree,White or of European descent,8.50E+04
388,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,20 or more years,8,7,Tabs,IntelliJ,Agile; Scrum,Male,A master's degree,White or of European descent,1.10E+05
401,Professional developer,Master's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",8 to 9 years,1 to 2 years,2,2,Both,Vim,Agile; Pair; Kanban,Male,A bachelor's degree,Middle Eastern,8.80E+04
407,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,9,10,Spaces,Notepad++; IPython / Jupyter; PyCharm; Visual Studio,NA,Male,A professional degree,White or of European descent,1.20E+05
430,Professional developer,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",10 to 19 employees,Venture-funded startup,20 or more years,8 to 9 years,8,7,Spaces,Sublime Text,Agile; Scrum; Kanban,Male,"Some college/university study, no bachelor's degree",White or of European descent,137500
431,Professional developer,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Less than a year,5,3,Tabs,Emacs; Notepad++,NA,Gender non-conforming,A bachelor's degree,White or of European descent,5.00E+04
432,Professional developer,Bachelor's degree,Computer science or software engineering,"More than half, but not all, the time",500 to 999 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,10,6,Spaces,Eclipse; IntelliJ,Agile; Scrum; Extreme; Pair; Kanban,NA,NA,NA,1.60E+05
434,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,Publicly-traded corporation,20 or more years,13 to 14 years,8,5,Tabs,Visual Studio; Visual Studio Code,Agile; Lean,Male,"Some college/university study, no bachelor's degree",White or of European descent,9.00E+04
451,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,It's complicated,"5,000 to 9,999 employees",Publicly-traded corporation,20 or more years,17 to 18 years,7,4,Tabs,Sublime Text; Vim; Visual Studio,Waterfall; Agile; Extreme; Pair,Male,"Some college/university study, no bachelor's degree",White or of European descent,1.10E+05
452,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,3 to 4 years,10,9,Tabs,Vim,NA,Male,A bachelor's degree,White or of European descent,8.20E+04
458,Professional developer,Doctoral degree,A non-computer-focused engineering discipline,It's complicated,"10,000 or more employees",Publicly-traded corporation,20 or more years,3 to 4 years,6,6,Spaces,Notepad++; Vim,Agile; Scrum; Kanban,Male,A master's degree,South Asian,1.04E+05
472,Professional developer,Bachelor's degree,Computer science or software engineering,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",7 to 8 years,3 to 4 years,7,5,Both,Notepad++; Sublime Text; PyCharm; Visual Studio,Waterfall; Agile; Scrum; Kanban,Male,"Some college/university study, no bachelor's degree",White or of European descent,52500
473,Professional developer,Bachelor's degree,Management information systems,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",18 to 19 years,15 to 16 years,0,5,Both,Atom; Notepad++; Sublime Text; Visual Studio,Scrum,Male,A bachelor's degree,East Asian; South Asian,100501
476,Professional developer,Bachelor's degree,A natural science,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",11 to 12 years,8 to 9 years,5,3,Spaces,Notepad++; Vim; IntelliJ; PyCharm,NA,Male,A master's degree,White or of European descent,9.30E+04
477,Professional developer,Some college/university study without earning a bachelor's degree,Computer programming or Web development,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",17 to 18 years,9 to 10 years,4,3,Spaces,Atom; Notepad++; Sublime Text,NA,Male,"Some college/university study, no bachelor's degree","Native American, Pacific Islander, or Indigenous Australian; White or of European descent",9.00E+04
500,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",4 to 5 years,1 to 2 years,8,8,Tabs,Visual Studio; Visual Studio Code,NA,Male,A professional degree,White or of European descent,7.50E+04
502,Professional developer,Some college/university study without earning a bachelor's degree,A business discipline,Never,20 to 99 employees,I don't know,8 to 9 years,7 to 8 years,7,7,Spaces,Notepad++; Sublime Text; Visual Studio,NA,Male,A bachelor's degree,White or of European descent,9.50E+04
505,Professional developer,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",All or almost all the time (I'm full-time remote),10 to 19 employees,"Privately-held limited company, not in startup mode",13 to 14 years,10 to 11 years,8,6,Tabs,Notepad++; Android Studio; Visual Studio; Xcode,Waterfall; Agile; Scrum; Extreme; Pair; Kanban; Domain-driven design,Male,A master's degree,White or of European descent,73200
511,Professional developer,Bachelor's degree,A non-computer-focused engineering discipline,Never,"10,000 or more employees",Publicly-traded corporation,20 or more years,15 to 16 years,7,9,Tabs,Visual Studio,Agile; Lean; Scrum; Kanban; Domain-driven design,Male,High school,White or of European descent,1.40E+05
513,Professional developer,Some college/university study without earning a bachelor's degree,Mathematics or statistics,About half the time,100 to 499 employees,Venture-funded startup,9 to 10 years,5 to 6 years,NA,NA,Spaces,Sublime Text; Vim; Android Studio; RStudio; Visual Studio; Xcode,Waterfall; Agile; Scrum; Pair,Male,A doctoral degree,Middle Eastern,1.30E+05
518,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,20 or more years,8,8,Spaces,NetBeans; Visual Studio,NA,Male,A bachelor's degree,White or of European descent,8.60E+04
526,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Venture-funded startup,12 to 13 years,2 to 3 years,7,8,Both,Sublime Text; Xcode,Agile; Scrum; Pair,Male,A bachelor's degree,White or of European descent,9.00E+04
531,Professional developer,Bachelor's degree,Computer science or software engineering,About half the time,20 to 99 employees,Venture-funded startup,20 or more years,10 to 11 years,8,3,Spaces,Emacs,Waterfall; Agile; Scrum; Pair; Kanban,Male,A bachelor's degree,White or of European descent,1.60E+05
563,Professional developer,Bachelor's degree,Something else,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years,3 to 4 years,5,4,Tabs,Notepad++; Visual Studio; Visual Studio Code,NA,Male,A master's degree,White or of European descent,6.00E+04
568,Professional developer,Master's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",20 or more years,19 to 20 years,6,5,Both,Emacs; Vim; Eclipse,Agile; Scrum; Mob,Male,"Some college/university study, no bachelor's degree",White or of European descent,106400
583,Professional developer,Master's degree,Computer science or software engineering,A few days each month,500 to 999 employees,Publicly-traded corporation,8 to 9 years,7 to 8 years,9,9,Both,Atom; Vim; Eclipse; IntelliJ,Waterfall; Agile; Scrum; Extreme; Pair,Male,A master's degree,I prefer not to say,1.35E+05
587,Professional developer,Some college/university study without earning a bachelor's degree,I never declared a major,All or almost all the time (I'm full-time remote),"1,000 to 4,999 employees",Publicly-traded corporation,20 or more years,20 or more years,9,10,Spaces,Vim,Agile; Lean; Scrum; Pair; Kanban,Male,"Some college/university study, no bachelor's degree",White or of European descent,1.40E+05
591,Professional developer,Master's degree,A natural science,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",10 to 11 years,7 to 8 years,4,5,Spaces,Sublime Text; Vim; Eclipse; NetBeans,NA,Female,A bachelor's degree,White or of European descent,7.70E+04
610,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","5,000 to 9,999 employees","Privately-held limited company, not in startup mode",6 to 7 years,2 to 3 years,9,7,Spaces,Sublime Text,Agile,Male,A doctoral degree,Middle Eastern; White or of European descent,1.05E+05
612,Professional developer,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",12 to 13 years,6 to 7 years,8,5,Both,Visual Studio,Waterfall; Agile; Scrum; Pair; Kanban,Male,High school,White or of European descent,6.20E+04
615,Professional developer,Bachelor's degree,"Information technology, networking, or system administration","Less than half the time, but at least one day each week","5,000 to 9,999 employees",Publicly-traded corporation,19 to 20 years,18 to 19 years,9,7,Spaces,Sublime Text; IntelliJ; Visual Studio; Visual Studio Code,Agile; Scrum; Pair; Kanban,Male,A bachelor's degree,White or of European descent,1.50E+05
626,Professional developer,Master's degree,A business discipline,"More than half, but not all, the time",100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,17 to 18 years,9,8,Spaces,Vim; IntelliJ,Agile; Lean; Scrum; Extreme; Pair; Mob; Kanban; Domain-driven design,Male,High school,White or of European descent,1.29E+05
629,Professional developer,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees",Publicly-traded corporation,8 to 9 years,5 to 6 years,9,7,Tabs,Sublime Text,NA,Male,A bachelor's degree,White or of European descent,6.50E+04
633,Professional developer,Some college/university study without earning a bachelor's degree,I never declared a major,"More than half, but not all, the time",100 to 499 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,9,9,NA,NA,NA,NA,NA,NA,1.15E+05
644,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,All or almost all the time (I'm full-time remote),10 to 19 employees,Venture-funded startup,16 to 17 years,7 to 8 years,9,9,Both,Atom; Android Studio; IntelliJ,Waterfall; Agile; Pair; Domain-driven design,Male,A bachelor's degree,Hispanic or Latino/Latina,1.25E+05
647,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,"Less than half the time, but at least one day each week",20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,9,5,Spaces,Notepad++; Eclipse; Visual Studio; Xcode,NA,Male,High school,I prefer not to say,9.50E+04
649,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"More than half, but not all, the time",20 to 99 employees,"Privately-held limited company, not in startup mode",13 to 14 years,8 to 9 years,8,8,Tabs,Atom; Android Studio; IntelliJ; Visual Studio; Visual Studio Code,NA,Male,A bachelor's degree,White or of European descent,8.80E+04
669,Professional developer,Bachelor's degree,Fine arts or performing arts,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,8,3,Spaces,Visual Studio; Visual Studio Code,Agile; Scrum; Pair; Domain-driven design,Male,"Some college/university study, no bachelor's degree",White or of European descent,117250
674,Professional developer,Master's degree,Computer science or software engineering,A few days each month,100 to 499 employees,Venture-funded startup,20 or more years,12 to 13 years,7,7,Spaces,TextMate; Xcode,Agile; Scrum; Pair,Male,"Some college/university study, no bachelor's degree",White or of European descent,1.55E+05
683,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,Publicly-traded corporation,20 or more years,8 to 9 years,5,3,Spaces,Atom; Notepad++; Vim; Eclipse; RStudio,Waterfall; Agile; Scrum; Extreme; Pair; Kanban; Evidence-based SWE,Male,High school,White or of European descent,9.50E+04
689,Professional developer,Master's degree,Mathematics or statistics,A few days each month,"10,000 or more employees",Publicly-traded corporation,7 to 8 years,3 to 4 years,10,6,Spaces,Notepad++; Sublime Text; Vim; PyCharm; Visual Studio; Visual Studio Code,Agile; Extreme; Pair; Kanban,Male,A bachelor's degree,White or of European descent,1.10E+05
690,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",12 to 13 years,12 to 13 years,8,5,Tabs,Sublime Text,Agile; Lean; Extreme,Male,A bachelor's degree,White or of European descent,8.50E+04
691,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,Fewer than 10 employees,"Privately-held limited company, not in startup mode",8 to 9 years,4 to 5 years,8,9,Tabs,Notepad++; Visual Studio,Agile; Scrum; Pair,Male,A bachelor's degree,White or of European descent,6.20E+04
695,Professional developer,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",20 or more years,19 to 20 years,7,5,Spaces,Atom; Notepad++; Visual Studio,Waterfall; Agile; Scrum,Male,A master's degree,White or of European descent,1.60E+05
702,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,12 to 13 years,8,8,Spaces,Notepad++; Visual Studio,Agile; Scrum; Pair; Kanban,Male,A master's degree,White or of European descent,9.30E+04
704,Professional developer,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,100 to 499 employees,Venture-funded startup,8 to 9 years,3 to 4 years,7,8,Spaces,Sublime Text; Vim; IntelliJ; RubyMine,NA,Male,High school,East Asian,9.50E+04
708,Professional developer,Some college/university study without earning a bachelor's degree,A non-computer-focused engineering discipline,A few days each month,"1,000 to 4,999 employees",Government agency or public school/university,20 or more years,19 to 20 years,9,9,Tabs,Notepad++; Visual Studio,NA,Male,High school,White or of European descent,8.20E+04
723,Professional developer,Bachelor's degree,Computer programming or Web development,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,20 or more years,8,8,Both,Notepad++; Visual Studio; Visual Studio Code,Agile; Scrum; Kanban,Male,A bachelor's degree,White or of European descent,1.00E+05
725,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",16 to 17 years,13 to 14 years,7,6,Tabs,Visual Studio; Visual Studio Code; Xcode,NA,Male,"Some college/university study, no bachelor's degree",White or of European descent,1.07E+05
744,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,14 to 15 years,9 to 10 years,9,9,Spaces,Notepad++; Sublime Text; Vim; Eclipse; IntelliJ,Agile; Scrum,Male,A bachelor's degree,White or of European descent,1.16E+05
751,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,11 to 12 years,3 to 4 years,7,7,Spaces,Notepad++; Sublime Text; Vim; Eclipse; IntelliJ; Visual Studio Code,NA,Male,A bachelor's degree,White or of European descent,7.20E+04
759,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,6 to 7 years,2 to 3 years,7,8,Spaces,Visual Studio; Visual Studio Code,Agile; Scrum; Pair,Male,A master's degree,White or of European descent,118500
763,Professional developer,Master's degree,A humanities discipline,A few days each month,100 to 499 employees,I don't know,20 or more years,Less than a year,8,8,Tabs,Visual Studio; Xcode,NA,Male,A master's degree,White or of European descent,5.00E+04
771,Professional developer,Bachelor's degree,"Information technology, networking, or system administration","More than half, but not all, the time","10,000 or more employees",Publicly-traded corporation,19 to 20 years,16 to 17 years,7,7,Both,Atom; Vim; Eclipse; PyCharm,Agile; Scrum; Kanban,Male,"Some college/university study, no bachelor's degree",South Asian,1.78E+05
775,Professional developer,Master's degree,Computer engineering or electrical/electronics engineering,Never,"10,000 or more employees",Publicly-traded corporation,12 to 13 years,8 to 9 years,7,2,Spaces,Visual Studio; Visual Studio Code,Waterfall; Agile; Lean; Scrum; Pair; Kanban,Male,A master's degree,White or of European descent,1.11E+05
779,Professional developer,Bachelor's degree,Management information systems,All or almost all the time (I'm full-time remote),10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,4,4,Spaces,Sublime Text; IntelliJ; Visual Studio,NA,Male,"Some college/university study, no bachelor's degree",White or of European descent,5.10E+04
795,Professional developer,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Publicly-traded corporation,2 to 3 years,1 to 2 years,8,8,NA,NA,NA,NA,NA,NA,9.00E+04
